#{"t_start": 1735350998.580363, "env_id": "Hopper-v5"}
r,l,t
--38.368694,13,2.062155570.602317,34,1.941584
51.619672,14,2.00194
73.348059,40,2.173366
-13.72555,22,2.268623
75.262087,35,2.418834
36.465866,41,2.593285
58.633828,24,2.695843
73.421962,34,2.839638
60.930998,20,2.9261
67.544704,31,3.057865
-17.928768,23,3.154716
-25.053769,14,3.214265
75.806449,39,3.378314
46.883136,42,3.555724
67.258274,29,3.677234
50.957105,16,3.744771
4.195517,41,3.917161
67.119757,41,4.092884
8.500715,41,4.26504
75.877931,38,4.427925
19.385313,42,4.605025
73.090054,36,4.762542
58.95243,22,4.85853
-21.293027,17,4.930431
49.917724,13,4.985739
-19.346795,17,5.057443
54.600509,16,5.125178
58.882871,24,5.226385
-23.542248,13,5.281276
23.262268,42,5.465002
58.070254,19,5.548296
56.342091,21,5.636435
-20.193418,18,5.711998
51.894009,14,5.770771
69.484812,41,5.943242
48.441067,10,5.985629
73.077416,38,6.146468
9.232782,41,6.321842
71.45548,35,6.467593
-29.553974,11,6.514107
54.058475,17,6.584556
52.217433,14,6.643611
73.251092,33,6.782303
59.539207,24,6.883461
-8.676823,29,7.004574
48.837743,41,7.177876
52.938495,17,7.249597
61.691725,27,7.362186
63.640059,28,7.478734
67.009476,28,7.594865
59.003024,23,7.690703
69.653166,41,7.861649
67.063761,27,7.97401
51.287366,12,8.024611
52.131894,13,8.078818
5.419868,41,8.249759
57.706043,21,8.337105
72.252164,38,8.494989
-21.442657,20,8.578804
68.918444,36,8.727636
-14.41772,24,8.826586
-9.50536,29,8.947713
50.825053,14,9.005413
-4.122983,33,9.14216
60.596591,25,9.24616
-11.484341,28,9.362397
68.325108,34,9.506274
-0.725823,40,9.67152
59.537089,23,9.768635
53.343456,17,9.840477
62.429725,26,9.950822
61.911714,25,10.056628
64.920021,27,10.167256
53.737261,16,10.233003
55.903737,21,10.318701
24.921617,42,12.65537
2.214179,39,12.822327
69.066381,28,12.93953
61.227163,25,13.043722
58.265702,21,13.131367
64.18441,31,13.262229
54.065668,18,13.348469
63.519502,28,13.466187
74.356586,37,13.621823
65.265776,31,13.752162
65.788985,30,13.878152
12.692205,42,14.055443
62.205631,27,14.172506
58.588915,21,14.260325
61.521405,22,14.352638
57.546778,17,14.423579
-23.742777,13,14.478123
15.344515,42,14.653743
53.386081,17,14.724623
59.155127,23,14.820851
59.582905,24,14.921017
65.532268,29,15.042537
0.888241,41,15.213562
47.400451,41,15.384724
55.068018,20,15.467986
57.659994,19,15.546906
71.470247,30,15.672799
61.384392,21,15.760875
46.529545,11,15.806644
70.102494,40,15.973835
55.051179,20,16.061263
73.40852,41,16.232754
63.229599,29,16.355272
62.162624,25,16.459501
50.298501,13,16.51325
71.148711,34,16.655126
55.740638,17,16.726378
-12.030425,23,16.823348
38.709344,42,16.998708
-21.850222,15,17.062644
59.031338,19,17.145787
-3.034347,40,17.313214
51.432436,18,17.388812
58.353754,22,17.480686
57.673122,19,17.560245
76.349233,38,17.719311
55.043583,20,17.802839
53.564899,19,17.882608
-12.067154,26,17.991632
78.483865,40,18.1632
44.104792,42,18.341714
-14.216662,20,18.429389
62.831531,28,18.545787
59.287674,21,18.633493
68.191573,33,18.771268
56.512542,20,18.854356
61.644305,28,18.978859
-16.823698,21,19.07375
58.033109,23,19.170249
60.251774,24,19.271975
51.49315,42,19.450165
51.418449,16,19.518189
58.78615,24,19.619761
59.463538,24,19.72431
10.172758,41,19.907002
50.661216,15,19.973057
73.83633,34,20.123249
57.062252,21,20.215306
60.579334,25,20.324172
70.987359,30,20.452057
56.418066,21,20.542334
61.522609,23,20.640585
62.473967,26,20.751367
18.821886,42,20.927965
51.574623,15,20.991482
56.401583,17,21.06331
59.333458,21,21.15137
59.039577,23,21.975436
52.346372,17,22.047576
61.560652,26,22.156894
54.94688,17,22.22849
-1.163197,35,22.374325
58.642638,22,22.466253
53.761241,18,22.542118
57.734287,22,22.633981
61.85989,24,22.734627
54.52458,14,22.793157
53.347808,14,22.851962
57.026225,21,22.939467
58.570365,22,23.049.045961.979915,23,23.53.6572854.916411,16,23.-5.966643,39,23.4726
43.581838,42,23.649893
-25.736723,15,23.713599
54.198681,13,23.768749
60.4462.143735
-18.774914,15,26.219032
39.711074,40,26.413518
46.823494,12,26.470771
26.327225,39,26.658126
-29.228056,11,26.712804
-51.083757,26,26.841546
98.203823,27,26.970356
74.027657,40,27.166921
80.309099,24,27.281921
45.147861,8,27.320455
48.93016,14,27.386581
14.117283,37,27.568752
70.357948,16,27.645321
22.25049,39,27.833828
58.834441,28,27.973393
41.784508,27,28.102479
41.493512,21,28.202612
92.867811,27,28.331298
53.304899,9,28.376199
-28.261984,12,28.435875
106.105932,29,28.578982
47.086064,26,28.706061
48.657077,19,28.799283
-32.645423,11,28.853363
80.321879,37,29.034337
83.786662,39,29.229014
44.524251,22,29.333913
40.899267,40,29.529007
88.678351,26,29.65754
-21.812373,11,29.712749
42.397567,13,29.778698
-45.244416,23,29.892522
-2.123775,37,30.072387
