#{"t_start": 1735350997.7130115, "env_id": "Hopper-v5"}
r,l,t
-14.869501,26,1.734291
75.966824,38,1.897017
53.79967,12,1.948108
56.105764,17,2.021013
-28.293881,15,2.084759
58.950433,42,2.26388
-33.169656,11,2.31126
54.338574,42,2.490316
60.135831,42,2.669504
-30.152844,12,2.720392
58.842527,21,2.809942
34.973743,42,2.989414
-2.90532,40,3.158958
77.287874,38,3.3212
66.050104,42,3.499297
35.438661,42,3.678103
79.156823,40,3.84773
67.192142,41,4.021982
48.959384,42,4.200221
35.172682,42,4.378162
66.102174,27,4.493232
15.53511,42,4.670857
79.403214,41,4.845435
57.002329,42,5.023712
61.454075,20,5.108628
57.19558,42,5.286798
7.386412,41,5.463407
77.804067,41,5.638494
45.947476,42,5.818149
75.186573,38,5.981648
23.161346,42,6.169262
64.920235,25,6.278226
79.048002,40,6.446584
48.791808,42,6.629485
51.776321,42,6.809316
71.382554,33,6.947806
59.213124,21,7.036146
34.018924,42,7.214029
66.850316,42,7.389784
68.862077,30,7.519907
55.908156,16,7.586964
63.630489,42,7.763733
73.060839,41,7.936366
64.061852,42,8.112592
80.183149,39,8.276325
57.110463,42,8.452474
79.81986,38,8.612522
57.268551,19,8.69188
65.408189,27,8.80548
58.430474,19,8.885067
68.810674,42,9.061369
14.14323,42,9.237278
71.934486,41,9.409949
78.289955,42,9.586329
30.855752,42,9.762432
48.940879,42,9.939353
68.737277,42,10.114966
76.435506,38,10.275016
25.365782,42,12.662806
72.513127,33,12.801495
72.668927,35,12.955488
71.941968,41,13.129555
58.779806,42,13.306784
-34.110824,7,13.339245
62.221596,23,13.437883
42.399503,42,13.622833
56.236066,42,13.814747
64.3281,25,13.929214
-23.90495,20,14.023103
71.04324,34,14.179882
72.193462,41,14.363105
76.536776,39,14.531272
67.069948,28,14.655009
44.295863,42,14.840996
79.326389,38,15.001659
60.78769,21,15.090621
58.122325,42,15.269679
-10.960112,30,15.405114
65.702848,25,15.514518
74.872554,42,15.699943
58.361412,19,15.784389
76.110253,40,15.961445
81.244393,40,16.134262
53.546809,42,16.311923
62.53318,20,16.398398
76.907741,39,16.571592
35.39565,42,16.749552
68.000828,41,16.923106
41.160536,42,17.107348
67.293382,26,17.221145
77.405209,41,17.402266
71.45298,33,17.548447
74.463875,41,17.729332
-26.283849,15,17.793023
61.62476,25,17.898557
59.756307,22,17.992284
66.174897,27,18.108066
60.425335,42,18.294573
65.352997,26,18.404617
75.41845,41,18.579019
75.345509,42,18.759758
46.81972,42,18.943774
69.811597,31,19.088604
31.262926,42,19.277894
-20.850816,21,19.370383
66.345383,42,19.549947
-23.987386,16,19.618053
65.084437,22,19.7141
74.208326,42,19.899086
80.764251,41,20.083488
64.826296,42,20.264301
79.812907,39,20.430707
40.266893,42,20.613408
75.170142,41,20.788069
50.863417,10,20.83154
66.981498,27,20.954089
12.420654,41,21.129141
73.720325,37,21.290659
73.537726,36,21.443422
-31.390229,10,22.285928
71.820165,36,22.439785
69.059235,31,22.571846
61.169559,23,22.669997
53.739439,42,22.863702
70.041324,30,22.992112
76.636742,41,23.16608
70.536241,41,23.344079
65.376016,24,23.449638
49.374295,12,23.500421
57.527634,18,23.576654
78.678826,40,23.750277
54.971772,15,23.816478
69.112086,29,23.940066
63.056348,25,24.048283
70.080637,30,24.180452
75.797765,37,24.338132
46.689773,42,24.523257
-22.786906,20,24.609527
79.711488,41,24.78315
49.936514,12,24.83395
67.324096,42,25.014413
61.914372,23,25.115774
54.28274,18,25.194703
65.020725,42,25.3869
67.31436,30,25.526599
80.615934,40,25.704465
57.802114,21,25.795158
60.367847,42,25.973789
52.477257,42,26.158132
82.500021,41,26.340709
59.167821,16,26.408448
71.484689,32,26.547391
64.145983,26,26.660598
76.936103,40,26.837515
69.698793,42,27.017411
71.730877,33,27.162133
73.176301,42,27.339829
62.95144,19,27.42592
59.280276,20,27.517623
71.447971,28,27.636763
54.716576,17,27.709001
71.435893,35,27.863428
71.375829,26,27.97582
70.661943,30,28.10258
47.247818,42,28.279884
69.429385,28,28.403168
70.850308,42,28.586619
76.192373,37,28.748008
72.317656,34,28.896153
58.902625,18,28.974383
58.463244,22,29.072018
57.177321,21,29.165641
56.222635,14,29.225657
53.227701,13,29.28081
67.463815,26,29.391706
61.640549,19,29.475896
59.308668,20,29.564232
64.832562,28,29.686671
58.376697,21,29.778224
60.334039,41,29.952315
