#{"t_start": 1735350997.7479322, "env_id": "Hopper-v5"}
r,l,t
-41.704947,21,1.701737
74.285729,41,1.933833
56.381592,42,2.113156
58.242645,22,2.207095
47.79462,10,2.249471
56.420129,42,2.42863
76.96454,38,2.59111
39.80232,40,2.761512
60.74923,22,2.855169
59.648388,42,3.033953
76.577644,36,3.188311
70.626982,30,3.315291
13.836074,41,3.4894
36.844269,39,3.654731
79.47954,37,3.812624
50.8524,10,3.855128
65.270854,25,3.96149
59.687802,19,4.042001
65.907249,31,4.173796
78.004114,33,4.322537
52.365567,41,4.495811
43.439664,41,4.669587
74.262464,34,4.814452
50.293182,11,4.860996
80.890185,38,5.023181
68.659668,28,5.141001
70.965364,30,5.268661
74.159238,35,5.416916
69.121615,42,5.597425
52.700046,15,5.662159
69.34334,27,5.777981
62.270752,23,5.876534
67.647041,25,5.982559
55.407779,40,6.159316
-31.950542,12,6.210855
60.825501,21,6.302625
68.729876,41,6.481641
-0.139837,36,6.636986
45.962923,39,6.803882
77.997051,35,6.951454
76.113192,35,7.101554
58.632122,18,7.177513
73.074993,40,7.347136
78.489293,42,7.52312
56.235788,15,7.586029
79.28801,34,7.729163
65.646016,41,7.901628
63.698736,41,8.073977
47.873758,40,8.242005
74.322141,29,8.363838
69.06711,40,8.531853
55.914988,42,8.708052
59.589938,22,8.800422
75.131403,39,8.963974
41.082009,41,9.136024
71.479326,33,9.274818
65.766437,42,9.451242
62.227128,20,9.534865
59.167557,20,9.61908
47.130689,9,9.656836
68.640115,25,9.762158
59.960371,39,9.925887
48.334973,9,9.963623
72.893899,39,10.126872
50.131262,40,10.295368
76.147184,37,12.662091
54.404563,14,12.720792
61.247624,21,12.80907
71.786842,42,12.992254
74.15196,36,13.145437
70.986752,30,13.274729
63.89423,27,13.390033
61.342574,40,13.561867
61.02397,20,13.649706
60.085814,21,13.743826
63.597494,19,13.827971
50.823563,12,13.883342
56.714477,18,13.9645
72.985303,30,14.10398
78.431826,36,14.279405
69.684898,30,14.416789
48.464314,41,14.593688
70.059476,27,14.713536
65.614118,41,14.894686
63.056206,41,15.072075
63.071694,22,15.165689
65.845015,26,15.275766
59.743683,41,15.455315
68.45064,29,15.581555
68.448768,24,15.687481
68.905179,26,15.802545
63.996995,24,15.908227
58.41371,19,15.992639
67.180654,25,16.100298
75.244288,30,16.229646
52.174303,11,16.276978
75.216898,41,16.452815
65.668541,26,16.567793
70.660866,41,16.744001
57.025308,12,16.795162
79.03732,41,16.968772
