#{"t_start": 1735350997.6457891, "env_id": "Swimmer-v5"}
r,l,t
-2.906475,1000,5.714353
-26.574043,1000,9.820046
-21.801182,1000,16.152644
-1.515794,1000,20.26979
3.89282,1000,25.198544
0.300042,1000,29.32721
16.438453,1000,34.22728
-11.395125,1000,38.287972
7.380295,1000,43.178565
22.430245,1000,47.31583
23.423036,1000,52.209731
6.765795,1000,56.29502
35.411055,1000,61.082261
8.742222,1000,65.100222
10.764141,1000,69.850424
7.296553,1000,73.890595
35.302053,1000,78.644581
7.596152,1000,82.676688
11.529265,1000,87.523222
13.380139,1000,91.674337
33.887293,1000,96.517198
28.58171,1000,100.65574
32.469263,1000,105.497041
30.787862,1000,109.536734
44.585751,1000,114.413155
11.135597,1000,118.539096
30.933442,1000,123.420888
15.229978,1000,127.474021
27.422022,1000,132.264121
32.317933,1000,136.263654
32.104882,1000,141.014916
31.526053,1000,145.033489
14.885294,1000,149.803556
31.218943,1000,153.814802
25.951343,1000,158.655662
23.346273,1000,162.74488
43.38828,1000,167.572528
27.190519,1000,171.668169
33.878821,1000,176.511136
33.777492,1000,180.537983
32.033837,1000,185.343964
42.335844,1000,189.452734
43.838478,1000,193.550105
55.344326,1000,198.34115
15.760709,1000,202.334368
43.239007,1000,207.026787
43.307928,1000,211.025275
42.074926,1000,215.735113
20.36475,1000,219.735026
48.014935,1000,224.443052
53.07426,1000,228.600442
68.116387,1000,233.403151
61.182737,1000,237.47203
75.432403,1000,242.275963
79.448526,1000,246.340798
70.84791,1000,251.080158
77.790631,1000,255.139663
80.643468,1000,259.966739
72.466604,1000,264.061377
85.038797,1000,268.856679
87.801538,1000,272.842767
80.065236,1000,277.524844
76.488145,1000,281.498694
95.486877,1000,286.22036
110.366799,1000,290.203696
90.032555,1000,294.929807
104.623137,1000,298.986643
97.032337,1000,303.787496
102.282718,1000,307.874365
103.252774,1000,312.671585
127.631012,1000,316.750201
122.331719,1000,321.490412
120.022184,1000,325.54978
125.429313,1000,330.361649
120.955882,1000,334.448643
131.660758,1000,339.267828
136.509549,1000,343.243254
127.369432,1000,347.957916
128.753992,1000,351.92641
127.980549,1000,356.621826
144.302686,1000,360.620845
142.198211,1000,365.329629
129.026555,1000,369.384794
138.911654,1000,374.197939
145.655085,1000,378.253461
151.355241,1000,382.323465
168.208992,1000,387.148505
159.001841,1000,391.195267
166.477435,1000,395.956139
170.987182,1000,400.011976
162.931014,1000,404.87501
174.983816,1000,408.945574
179.534723,1000,413.693508
171.974489,1000,417.674812
165.597273,1000,422.405396
179.512748,1000,426.398971
179.335979,1000,431.109172
165.050657,1000,435.110452
174.20289,1000,439.831051
177.604146,1000,443.909183
184.056484,1000,448.700272
186.198448,1000,452.749523
184.422448,1000,457.55035
179.342444,1000,461.623832
181.759245,1000,466.356854
180.663038,1000,470.413245
195.07879,1000,475.227444
187.827812,1000,479.336122
186.442143,1000,484.104458
192.558526,1000,488.094094
182.650585,1000,492.8216
180.799403,1000,496.782527
189.10146,1000,501.503931
190.43191,1000,505.499072
184.180061,1000,510.215844
181.209123,1000,514.288146
180.973513,1000,519.128065
191.395293,1000,523.178138
195.302496,1000,527.98459
186.924438,1000,532.069201
183.929117,1000,536.830272
173.278,1000,540.86683
178.916687,1000,545.690264
192.093936,1000,549.777756
174.015195,1000,554.601775
181.241838,1000,558.589875
189.525349,1000,563.294099
185.750085,1000,567.276775
179.921376,1000,571.23394
177.552462,1000,575.967324
182.466311,1000,579.940817
191.882084,1000,584.715361
181.766855,1000,588.777084
180.196774,1000,593.571463
180.309175,1000,597.649163
175.720858,1000,602.453164
184.52902,1000,606.533798
189.225217,1000,611.269119
195.722825,1000,615.330766
187.323579,1000,620.152396
193.02331,1000,624.244665
195.45832,1000,628.984292
196.071559,1000,632.96693
194.081277,1000,637.66521
202.170492,1000,641.630825
204.213731,1000,646.325696
189.348377,1000,650.316058
192.707335,1000,655.05266
191.167792,1000,659000,647.429538
101.681276,1000,651.435292
95.699531,1000,656.204596
93.867047,1000,660.189236
101.680637,1000,664.92446
101.533043,1000,668.822173
97.097815,1000,673.401821
86.833846,1000,677.261373
101.059973,1000,681.863817
97.238881,1000,685.744171
88.213952,1000,690.343664
86.0053,1000,694.297216
90.567524,1000,699.024284
85.290785,1000,703.000437
96.73235,1000,707.728379
88.328294,1000,711.713548
101.419759,1000,716.450443
98.639982,1000,720.360022
85.273784,1000,725.135525
82.659855,1000,729.140648
83.762268,1000,733.874675
89.183288,1000,737.745995
92.257143,1000,741.619185
78.818038,1000,746.202345
90.28099,1000,750.068595
86.060362,1000,754.695838
87.79719,1000,758.570218
76.146634,1000,763.247582
92.530126,1000,767.22868
88.924274,1000,771.992687
87.445889,1000,775.952767
85.011002,1000,780.708961
88.939096,1000,784.685315
76.954993,1000,789.345113
86.520965,1000,793.321143
83.437065,1000,798.099045
79.452701,1000,802.086518
82.744503,1000,806.83611
89.089296,1000,810.738087
91.917404,1000,815.374855
